"product_id";"brand_name";"product_name";"SKU";"SRP";"gross_weight";"net_weight";"recyclable_package";"low_fat";"units_per_case";"cases_per_pallet";"shelf_width";"shelf_height";"shelf_depth"
1;"Washington";"Washington Berry Juice";554270458;2.85;8.39;6.39;0;0;30;14;16.9;12.6;7.4
2;"Washington";"Washington Mango Drink";2027221987;0.74;7.42;4.42;0;1;18;8;13.4;3.71;22.6
3;"Washington";"Washington Strawberry Drink";-1701770219;0.83;13.1;11.1;1;1;17;13;14.4;11.0;7.77
4;"Washington";"Washington Cream Soda";-12353693;3.64;10.6;9.6;1;0;26;10;22.9;18.9;7.93
5;"Washington";"Washington Diet Soda";-338154481;2.19;6.66;4.65;1;0;7;10;20.7;21.9;19.2
6;"Washington";"Washington Cola";-260128276;1.15;15.8;13.8;0;0;14;10;6.42;18.1;21.3
7;"Washington";"Washington Diet Cola";-1283391726;2.61;18.0;17.0;1;0;11;7;15.0;16.9;21.0
8;"Washington";"Washington Orange Juice";-423780966;2.59;8.97;6.97;1;0;27;7;7.56;11.8;8.92
9;"Washington";"Washington Cranberry Juice";-2144507078;2.42;7.14;5.13;0;0;34;7;18.5;16.1;14.4
10;"Washington";"Washington Apple Juice";639247882;1.42;8.13;7.13;1;0;28;14;21.6;7.32;9.2
11;"Washington";"Washington Apple Drink";-105580459;3.51;20.0;19.0;0;1;3;10;19.4;10.3;20.4
12;"Jeffers";"Jeffers Oatmeal";1786398624;1.54;8.9;6.89;1;1;14;6;15.9;15.4;10.8
13;"Jeffers";"Jeffers Corn Puffs";344107621;2.65;10.4;7.39;0;0;20;10;18.2;10.3;14.6
14;"Jeffers";"Jeffers Wheat Puffs";-1546467474;1.93;21.6;20.6;1;1;33;10;7.73;6.94;8.01
15;"Jeffers";"Jeffers Grits";608746157;2.29;21.3;20.2;0;1;14;9;8.96;18.3;12.4
16;"Blue Label";"Blue Label Canned Beets";-1515806948;3.83;21.2;18.2;0;1;31;10;19.0;21.9;9.39
17;"Blue Label";"Blue Label Creamed Corn";-2120042844;2.99;6.91;3.9;1;1;34;9;7.8;17.8;8.26
18;"Blue Label";"Blue Label Canned String Beans";-647091315;2.67;12.6;10.6;1;0;26;10;8.87;5.18;13.3
19;"Blue Label";"Blue Label Chicken Soup";-81116225;3.19;15.2;12.1;1;1;35;7;22.6;21.1;16.9
20;"Blue Label";"Blue Label Canned Yams";694372642;2.78;21.3;19.2;0;1;22;8;5.95;5.22;11.8
21;"Blue Label";"Blue Label Vegetable Soup";368571854;2.33;19.7;18.7;0;1;18;7;11.7;18.8;11.6
22;"Blue Label";"Blue Label Canned Tomatos";252284843;2.29;15.0;14.0;0;0;31;13;19.0;8.73;5.02
23;"Blue Label";"Blue Label Noodle Soup";-1530411381;1.75;10.6;9.6;1;0;17;9;19.8;3.16;15.7
24;"Blue Label";"Blue Label Regular Ramen Soup";-476487405;1.73;12.8;10.8;0;1;23;8;20.7;21.3;6.98
25;"Blue Label";"Blue Label Chicken Noodle Soup";1903440563;1.55;9.48;8.47;1;1;21;10;4.98;4.71;22.4
26;"Blue Label";"Blue Label Turkey Noodle Soup";392228227;0.88;16.5;13.5;1;1;21;11;12.8;11.0;12.0
27;"Blue Label";"Blue Label Beef Soup";-352600114;2.65;11.2;8.19;0;1;14;12;9.91;7.62;3.1
28;"Blue Label";"Blue Label Canned Peas";1539378969;3.91;21.9;20.8;1;0;33;9;8.1;22.0;21.5
29;"Blue Label";"Blue Label Chicken Ramen Soup";97087965;1.78;17.1;16.1;0;0;34;5;6.61;19.7;22.3
30;"Blue Label";"Blue Label Canned Tuna in Water";-1330002477;1.41;9.71;7.71;1;0;31;5;19.5;16.1;6.61
31;"Blue Label";"Blue Label Canned Tuna in Oil";-1042462496;1.55;17.2;15.2;1;0;28;12;19.7;13.6;3.63
32;"Blue Label";"Blue Label Large Canned Shrimp";1127951696;2.86;8.86;6.85;0;0;2;11;8.73;3.34;13.1
33;"Blue Label";"Blue Label Fancy Canned Anchovies";1631956673;1.36;8.27;6.27;0;1;16;5;5.9;9.12;17.7
34;"Blue Label";"Blue Label Fancy Canned Clams";-1190059093;1.69;16.7;14.7;1;1;30;9;20.6;14.4;11.9
35;"Blue Label";"Blue Label Fancy Canned Oysters";1803209644;2.21;18.2;16.2;0;1;23;5;8.28;7.87;6.27
36;"Blue Label";"Blue Label Fancy Canned Sardines";-1716268785;1.8;14.0;11.0;1;0;26;5;17.4;16.7;19.4
37;"Blue Label";"Blue Label Rice Soup";-2042069573;1.59;21.0;19.0;1;1;9;6;15.4;17.5;6.65
38;"Green Ribbon";"Green Ribbon Canned Mixed Fruit";-290682935;1.31;14.0;11.0;1;1;32;8;11.1;17.2;5.74
39;"Green Ribbon";"Green Ribbon Canned Peaches";-1313946385;3.11;17.5;15.5;1;0;5;7;10.8;17.7;9.04
40;"King";"King Rosy Sunglasses";-2127696058;0.99;11.7;10.6;1;0;25;13;15.7;12.1;7.7
41;"Queen";"Queen Eyeglass Screwdriver";252231910;0.89;8.61;5.6;1;0;29;12;18.3;6.34;8.7
42;"Queen";"Queen City Map";-345052767;2.82;13.6;11.6;1;0;6;10;3.46;5.58;17.1
43;"Club";"Club Low Fat Cottage Cheese";1531725755;1.67;17.7;15.7;1;0;33;11;15.4;3.71;10.7
44;"Club";"Club Low Fat Sour Cream";-871262459;2.93;10.7;9.69;0;1;26;5;21.1;17.9;7.32
45;"Club";"Club Sour Cream";1981413834;0.53;13.6;11.6;0;0;9;11;8.57;7.31;3.27
46;"Club";"Club Jack Cheese";554323391;3.44;14.4;12.3;1;0;19;7;12.7;20.9;7.42
47;"Club";"Club Muenster Cheese";841863373;2.57;17.8;15.7;1;0;21;13;22.3;7.03;13.2
48;"Club";"Club String Cheese";-1282689732;1.88;6.31;3.3;1;1;17;7;5.22;18.7;11.2
49;"Club";"Club Low Fat String Cheese";-19251979;3.38;17.0;15.0;0;0;30;12;22.8;6.48;4.65
50;"Club";"Club Havarti Cheese";1453699550;3.95;9.95;7.94;0;1;36;9;9.91;22.9;6.24
51;"Club";"Club Head Cheese";-871103658;1.47;8.41;5.4;0;1;9;11;13.1;7.54;18.6
52;"Club";"Club Cheese Spread";1577745642;2.17;14.5;13.5;1;1;27;13;7.4;10.4;6.06
