"time_id";"the_date";"the_day";"the_month";"the_year";"day_of_month";"week_of_year";"month_of_year";"quarter";"fiscal_period";"day_of_week"
367;"1997-01-01 00:00:00";"Wednesday";"January";2006;1;2;1;"Q1";"";3
368;"1997-01-02 00:00:00";"Thursday";"January";2006;2;2;1;"Q1";"";4
369;"1997-01-03 00:00:00";"Friday";"January";2006;3;2;1;"Q1";"";5
370;"1997-01-04 00:00:00";"Saturday";"January";2006;4;2;1;"Q1";"";6
371;"1997-01-05 00:00:00";"Sunday";"January";2006;5;3;1;"Q1";"";7
372;"1997-01-06 00:00:00";"Monday";"January";2006;6;3;1;"Q1";"";1
373;"1997-01-07 00:00:00";"Tuesday";"January";2006;7;3;1;"Q1";"";2
374;"1997-01-08 00:00:00";"Wednesday";"January";2006;8;3;1;"Q1";"";3
375;"1997-01-09 00:00:00";"Thursday";"January";2006;9;3;1;"Q1";"";4
376;"1997-01-10 00:00:00";"Friday";"January";2006;10;3;1;"Q1";"";5
377;"1997-01-11 00:00:00";"Saturday";"January";2006;11;3;1;"Q1";"";6
378;"1997-01-12 00:00:00";"Sunday";"January";2006;12;4;1;"Q1";"";7
379;"1997-01-13 00:00:00";"Monday";"January";2006;13;4;1;"Q1";"";1
380;"1997-01-14 00:00:00";"Tuesday";"January";2006;14;4;1;"Q1";"";2
381;"1997-01-15 00:00:00";"Wednesday";"January";2006;15;4;1;"Q1";"";3
382;"1997-01-16 00:00:00";"Thursday";"January";2006;16;4;1;"Q1";"";4
383;"1997-01-17 00:00:00";"Friday";"January";2006;17;4;1;"Q1";"";5
384;"1997-01-18 00:00:00";"Saturday";"January";2006;18;4;1;"Q1";"";6
385;"1997-01-19 00:00:00";"Sunday";"January";2006;19;5;1;"Q1";"";7
386;"1997-01-20 00:00:00";"Monday";"January";2006;20;5;1;"Q1";"";1
387;"1997-01-21 00:00:00";"Tuesday";"January";2006;21;5;1;"Q1";"";2
388;"1997-01-22 00:00:00";"Wednesday";"January";2006;22;5;1;"Q1";"";3
389;"1997-01-23 00:00:00";"Thursday";"January";2006;23;5;1;"Q1";"";4
390;"1997-01-24 00:00:00";"Friday";"January";2006;24;5;1;"Q1";"";5
391;"1997-01-25 00:00:00";"Saturday";"January";2006;25;5;1;"Q1";"";6
392;"1997-01-26 00:00:00";"Sunday";"January";2006;26;6;1;"Q1";"";7
393;"1997-01-27 00:00:00";"Monday";"January";2006;27;6;1;"Q1";"";1
394;"1997-01-28 00:00:00";"Tuesday";"January";2006;28;6;1;"Q1";"";2
395;"1997-01-29 00:00:00";"Wednesday";"January";2006;29;6;1;"Q1";"";3
396;"1997-01-30 00:00:00";"Thursday";"January";2006;30;6;1;"Q1";"";4
397;"1997-01-31 00:00:00";"Friday";"January";2006;31;6;1;"Q1";"";5
398;"1997-02-01 00:00:00";"Saturday";"February";2006;1;6;2;"Q1";"";6
399;"1997-02-02 00:00:00";"Sunday";"February";2006;2;7;2;"Q1";"";7
400;"1997-02-03 00:00:00";"Monday";"February";2006;3;7;2;"Q1";"";1
401;"1997-02-04 00:00:00";"Tuesday";"February";2006;4;7;2;"Q1";"";2
402;"1997-02-05 00:00:00";"Wednesday";"February";2006;5;7;2;"Q1";"";3
403;"1997-02-06 00:00:00";"Thursday";"February";2006;6;7;2;"Q1";"";4
404;"1997-02-07 00:00:00";"Friday";"February";2006;7;7;2;"Q1";"";5
405;"1997-02-08 00:00:00";"Saturday";"February";2006;8;7;2;"Q1";"";6
406;"1997-02-09 00:00:00";"Sunday";"February";2006;9;8;2;"Q1";"";7
407;"1997-02-10 00:00:00";"Monday";"February";2006;10;8;2;"Q1";"";1
408;"1997-02-11 00:00:00";"Tuesday";"February";2006;11;8;2;"Q1";"";2
409;"1997-02-12 00:00:00";"Wednesday";"February";2006;12;8;2;"Q1";"";3
410;"1997-02-13 00:00:00";"Thursday";"February";2006;13;8;2;"Q1";"";4
411;"1997-02-14 00:00:00";"Friday";"February";2006;14;8;2;"Q1";"";5
412;"1997-02-15 00:00:00";"Saturday";"February";2006;15;8;2;"Q1";"";6
413;"1997-02-16 00:00:00";"Sunday";"February";2006;16;9;2;"Q1";"";7
414;"1997-02-17 00:00:00";"Monday";"February";2006;17;9;2;"Q1";"";1
415;"1997-02-18 00:00:00";"Tuesday";"February";2006;18;9;2;"Q1";"";2
416;"1997-02-19 00:00:00";"Wednesday";"February";2006;19;9;2;"Q1";"";3
417;"1997-02-20 00:00:00";"Thursday";"February";2006;20;9;2;"Q1";"";4
418;"1997-02-21 00:00:00";"Friday";"February";2006;21;9;2;"Q1";"";5
419;"1997-02-22 00:00:00";"Saturday";"February";2006;22;9;2;"Q1";"";6
420;"1997-02-23 00:00:00";"Sunday";"February";2006;23;10;2;"Q1";"";7
421;"1997-02-24 00:00:00";"Monday";"February";2006;24;10;2;"Q1";"";1
422;"1997-02-25 00:00:00";"Tuesday";"February";2006;25;10;2;"Q1";"";2
423;"1997-02-26 00:00:00";"Wednesday";"February";2006;26;10;2;"Q1";"";3
424;"1997-02-27 00:00:00";"Thursday";"February";2006;27;10;2;"Q1";"";4
425;"1997-02-28 00:00:00";"Friday";"February";2006;28;10;2;"Q1";"";5
426;"1997-03-01 00:00:00";"Saturday";"March";2006;1;10;3;"Q1";"";6
427;"1997-03-02 00:00:00";"Sunday";"March";2006;2;11;3;"Q1";"";7
428;"1997-03-03 00:00:00";"Monday";"March";2006;3;11;3;"Q1";"";1
429;"1997-03-04 00:00:00";"Tuesday";"March";2006;4;11;3;"Q1";"";2
430;"1997-03-05 00:00:00";"Wednesday";"March";2006;5;11;3;"Q1";"";3
431;"1997-03-06 00:00:00";"Thursday";"March";2006;6;11;3;"Q1";"";4
432;"1997-03-07 00:00:00";"Friday";"March";2006;7;11;3;"Q1";"";5
433;"1997-03-08 00:00:00";"Saturday";"March";2006;8;11;3;"Q1";"";6
434;"1997-03-09 00:00:00";"Sunday";"March";2006;9;12;3;"Q1";"";7
435;"1997-03-10 00:00:00";"Monday";"March";2006;10;12;3;"Q1";"";1
436;"1997-03-11 00:00:00";"Tuesday";"March";2006;11;12;3;"Q1";"";2
