Year;Quarter;Month;Day
2010;Q1 2010;January 2010;January 1,2010
2010;Q1 2010;January 2010;January 2,2010
2010;Q1 2010;January 2010;January 3,2010
2010;Q1 2010;January 2010;January 4,2010
2010;Q1 2010;January 2010;January 5,2010
2010;Q1 2010;January 2010;January 6,2010
2010;Q1 2010;January 2010;January 7,2010
2010;Q1 2010;January 2010;January 8,2010
2010;Q1 2010;January 2010;January 9,2010
2010;Q1 2010;January 2010;January 10,2010
2010;Q1 2010;January 2010;January 11,2010
2010;Q1 2010;January 2010;January 12,2010
2010;Q1 2010;January 2010;January 13,2010
2010;Q1 2010;January 2010;January 14,2010
2010;Q1 2010;January 2010;January 15,2010
2010;Q1 2010;January 2010;January 16,2010
2010;Q1 2010;January 2010;January 17,2010
2010;Q1 2010;January 2010;January 18,2010
2010;Q1 2010;January 2010;January 19,2010
2010;Q1 2010;January 2010;January 20,2010
2010;Q1 2010;January 2010;January 21,2010
2010;Q1 2010;January 2010;January 22,2010
2010;Q1 2010;January 2010;January 23,2010
2010;Q1 2010;January 2010;January 24,2010
2010;Q1 2010;January 2010;January 25,2010
2010;Q1 2010;January 2010;January 26,2010
2010;Q1 2010;January 2010;January 27,2010
2010;Q1 2010;January 2010;January 28,2010
2010;Q1 2010;January 2010;January 29,2010
2010;Q1 2010;January 2010;January 30,2010
2010;Q1 2010;January 2010;January 31,2010
2010;Q1 2010;February 2010;February 1,2010
2010;Q1 2010;February 2010;February 2,2010
2010;Q1 2010;February 2010;February 3,2010
2010;Q1 2010;February 2010;February 4,2010
2010;Q1 2010;February 2010;February 5,2010
2010;Q1 2010;February 2010;February 6,2010
2010;Q1 2010;February 2010;February 7,2010
2010;Q1 2010;February 2010;February 8,2010
2010;Q1 2010;February 2010;February 9,2010
2010;Q1 2010;February 2010;February 10,2010
2010;Q1 2010;February 2010;February 11,2010
2010;Q1 2010;February 2010;February 12,2010
2010;Q1 2010;February 2010;February 13,2010
2010;Q1 2010;February 2010;February 14,2010
2010;Q1 2010;February 2010;February 15,2010
2010;Q1 2010;February 2010;February 16,2010
2010;Q1 2010;February 2010;February 17,2010
2010;Q1 2010;February 2010;February 18,2010
2010;Q1 2010;February 2010;February 19,2010
2010;Q1 2010;February 2010;February 20,2010
2010;Q1 2010;February 2010;February 21,2010
2010;Q1 2010;February 2010;February 22,2010
2010;Q1 2010;February 2010;February 23,2010
2010;Q1 2010;February 2010;February 24,2010
2010;Q1 2010;February 2010;February 25,2010
2010;Q1 2010;February 2010;February 26,2010
2010;Q1 2010;February 2010;February 27,2010
2010;Q1 2010;February 2010;February 28,2010
2010;Q1 2010;March 2010;March 1,2010
2010;Q1 2010;March 2010;March 2,2010
2010;Q1 2010;March 2010;March 3,2010
2010;Q1 2010;March 2010;March 4,2010
2010;Q1 2010;March 2010;March 5,2010
2010;Q1 2010;March 2010;March 6,2010
2010;Q1 2010;March 2010;March 7,2010
2010;Q1 2010;March 2010;March 8,2010
2010;Q1 2010;March 2010;March 9,2010
2010;Q1 2010;March 2010;March 10,2010
2010;Q1 2010;March 2010;March 11,2010
2010;Q1 2010;March 2010;March 12,2010
2010;Q1 2010;March 2010;March 13,2010
2010;Q1 2010;March 2010;March 14,2010
2010;Q1 2010;March 2010;March 15,2010
2010;Q1 2010;March 2010;March 16,2010
2010;Q1 2010;March 2010;March 17,2010
2010;Q1 2010;March 2010;March 18,2010
2010;Q1 2010;March 2010;March 19,2010
2010;Q1 2010;March 2010;March 20,2010
2010;Q1 2010;March 2010;March 21,2010
2010;Q1 2010;March 2010;March 22,2010
2010;Q1 2010;March 2010;March 23,2010
2010;Q1 2010;March 2010;March 24,2010
2010;Q1 2010;March 2010;March 25,2010
2010;Q1 2010;March 2010;March 26,2010
2010;Q1 2010;March 2010;March 27,2010
2010;Q1 2010;March 2010;March 28,2010
2010;Q1 2010;March 2010;March 29,2010
2010;Q1 2010;March 2010;March 30,2010
2010;Q1 2010;March 2010;March 31,2010
2010;Q2 2010;April 2010;April 1,2010
2010;Q2 2010;April 2010;April 2,2010
2010;Q2 2010;April 2010;April 3,2010
2010;Q2 2010;April 2010;April 4,2010
2010;Q2 2010;April 2010;April 5,2010
2010;Q2 2010;April 2010;April 6,2010
2010;Q2 2010;April 2010;April 7,2010
2010;Q2 2010;April 2010;April 8,2010
2010;Q2 2010;April 2010;April 9,2010
2010;Q2 2010;April 2010;April 10,2010
2010;Q2 2010;April 2010;April 11,2010
2010;Q2 2010;April 2010;April 12,2010
2010;Q2 2010;April 2010;April 13,2010
2010;Q2 2010;April 2010;April 14,2010
2010;Q2 2010;April 2010;April 15,2010
2010;Q2 2010;April 2010;April 16,2010
